id,car_id,owner_id,vin,gos_num,mark,model,horse_power,car_weight,sts_serial,sts_num,engine_type,car_class,release_date,reg_date
34,1059,317,8QSCM1KSLQ2ML0A5X,О421МН01,Hyundai,Creta,155,1989,4540,536348,electric,E,2019-10-15,2021-08-20
35,1282,989,27M0H7CA7KW5P0FV3,Р112СА15,Hyundai,Elantra,204,2373,7610,906844,hybrid,D,2023-05-19,2025-03-25
36,1002,709,5YWXX1YOF47US3XXL,Н527ВХ68,Volkswagen,Golf,161,3095,4513,763563,hybrid,F,2023-03-05,2024-03-07
37,1769,159,9SWV41J8ZY7ZMOH00,Х155ВВ46,BMW,7 Series,268,1531,5548,371600,electric,E,2021-09-24,2022-07-29
38,450,37,ER6FYUQ2UO9ZUM864,Х707МВ78,Volkswagen,Tiguan,727,1860,1923,526553,electric,C,2011-04-05,2013-08-25
39,1714,762,QN33YQTLFWWFQOSG3,С376ХО64,Lexus,RX,666,801,8211,838510,diesel,F,2013-07-24,2022-10-19
40,1781,833,OHTV06HOYDBO9WZ02,А828ММ47,Hyundai,Elantra,315,801,8427,734932,diesel,B,2023-07-08,2024-12-26
41,843,149,TTPC66KSEA21SQNAX,Е999ОЕ92,Hyundai,Tucson,467,3111,9401,375321,electric,A,2007-06-13,2016-09-12
42,877,118,8T0OMFWSUKPUI6WDF,В505СМ75,Honda,CR-V,590,1327,3017,946691,electric,C,2015-07-23,2020-07-31
43,1762,608,6X233XRNPC6J0VYWJ,Х646ЕК11,Ford,Explorer,283,3169,3894,977672,electric,A,2021-09-22,2024-10-22
44,1295,972,XC7VHMWF9NXYYNG0G,К325ЕВ43,Honda,Pilot,237,2290,5523,401731,petrol,M,2005-12-12,2024-11-21
45,774,60,U48LD3EL4HQ5DJD5O,Р890КС56,Mercedes,E-Class,530,3289,8125,191260,electric,C,2005-09-14,2010-03-29
46,535,67,QRHGKG3AGX8TFHCCZ,Е595ХУ82,Ford,Mustang,400,2230,6791,213935,petrol,D,2005-05-24,2008-07-16
47,258,414,X34YZ9E6Z2SXXAM7R,У220НУ73,Volkswagen,Tiguan,271,940,3922,117308,petrol,A,2010-05-12,2011-11-20
48,1037,542,HQVWRCANXBRCZDOCX,В869ОУ20,Toyota,Land Cruiser,249,2257,9766,911286,petrol,F,2023-02-08,2023-03-20
49,1348,985,P1NOIZRW0NA3V1R46,Х523МХ21,Mercedes,GLC,279,3105,1688,553489,diesel,D,2013-04-23,2019-09-26
50,239,213,LX162XTZE1FFA0NUB,Р333УЕ22,Hyundai,Solaris,251,2028,7095,997508,diesel,A,2023-01-23,2024-07-07
51,1151,195,OPMUDU1GO9TCG9D30,О617ЕЕ75,Lexus,RX,744,3492,8358,924469,petrol,B,2019-05-10,2020-09-15
52,384,430,UVA12U6EQMHXMXXHG,Р888РТ16,BMW,7 Series,394,2925,3977,139181,electric,M,2015-11-30,2017-08-31
53,1868,768,8F6JL8STNALIS29LB,Х067МВ78,Kia,Sorento,255,1583,6576,849605,hybrid,A,2007-02-19,2020-06-24
54,968,804,SQ9XQBQUL6A2C7RL9,Е383МВ72,Kia,Sportage,634,3307,6939,573235,diesel,F,2009-05-28,2017-04-25
55,1202,683,SEQM678OOL2G9LWLP,С416ХТ07,BMW,X3,468,1338,4468,114059,petrol,S,2007-05-30,2017-04-20
56,1535,386,VU62UYCO5Y5081JSI,М159ОВ95,Hyundai,Solaris,404,2823,9567,511012,petrol,S,2023-07-18,2025-02-23
57,160,576,LP3XYHCJ47NXSB9HX,О737НУ11,Kia,Sorento,683,1492,9210,128818,petrol,S,2006-06-18,2018-01-07
58,832,896,9605NDYS4KKT4ZCTB,Х507ТА32,Kia,Sportage,157,3003,6949,354742,electric,A,2020-07-29,2021-02-01
59,1235,574,WHUIWLJLTN0K1DB9I,А362АУ31,Mercedes,GLE,521,1594,1499,290758,diesel,J,2022-03-10,2022-08-20
60,1913,122,3XN1LCKPLPY4MP0SN,М662РЕ16,BMW,X5,363,2104,5719,186125,electric,F,2013-12-10,2019-04-11
61,811,421,T1CNH326VHZ8RWVRC,С445РА26,Honda,Fit,761,2672,1348,227470,petrol,D,2014-11-13,2017-04-24
62,979,376,AZE7YI7UKKFAKA3WK,М019ЕА85,Honda,Pilot,699,1618,7412,890417,petrol,A,2019-02-02,2021-12-21
63,315,331,QS6VAOKKBVCG18XMU,Н828РЕ41,Hyundai,Elantra,685,1449,6896,127012,hybrid,E,2014-09-05,2018-12-07
64,858,989,RZRLP10VOJJK7OYUC,Р629СХ64,BMW,3 Series,443,2112,5817,367924,petrol,C,2017-02-12,2018-12-18
65,1755,762,L4RS7FN1V7I5V51Q5,С832РУ27,BMW,5 Series,181,1259,6117,788497,hybrid,C,2009-04-16,2020-08-03
66,1968,117,1AIR6ACCK0INBX66B,А213АК30,Ford,Fiesta,799,1161,9222,143996,diesel,D,2012-12-31,2022-03-11
67,1087,782,KRP9CW4FXEST1BNIQ,С390ВА11,Lexus,ES,671,2657,2178,609101,petrol,M,2013-05-08,2022-03-02
68,1247,837,61BGXPG6GNZ25TAMM,К702НС67,Audi,A3,248,857,5533,997035,hybrid,S,2011-10-04,2015-05-30
69,1354,507,ZQVPEW6LTOKHDCYQ7,Н365ТН45,BMW,5 Series,182,2998,2893,496788,electric,F,2017-12-03,2020-07-16
70,317,881,9ISOBWZJOEMKQ7ER0,М316МС74,Mercedes,GLC,95,1336,1810,562866,electric,E,2016-01-03,2025-02-28
71,967,1,07FV925EIF7RA5R4J,Т622МХ14,Honda,Accord,726,1668,6322,594529,diesel,E,2017-05-01,2017-11-01
72,1441,272,7002O7DB6KJKT8CSX,Е507СР10,BMW,X5,504,837,7739,444194,electric,M,2012-06-07,2019-06-30
73,1179,845,1W9ZRAPLU287X7N02,Р789АС72,Honda,Pilot,715,3033,9845,999214,hybrid,E,2012-06-23,2019-01-26
74,1490,88,GZ4HYUP0YBKO4Y3V4,М194МК01,Kia,Sorento,98,1493,7957,956300,diesel,S,2022-03-11,2024-02-29
75,1336,385,SLGYBW20TJ9B123WE,О433КУ65,Volkswagen,Golf,639,1646,3338,747737,hybrid,C,2020-03-14,2023-08-30
76,1043,816,RBZLUPNGYYAPA3X6U,Н957УЕ17,Mercedes,GLC,83,1827,3994,734060,diesel,B,2016-06-09,2024-08-24
77,1850,88,4JA0RORDEQKY23AFP,Т478РА61,BMW,X5,270,3308,8327,248098,electric,C,2024-06-09,2024-07-27
78,1386,134,O8M822W2G3HR09SBD,Х279МХ52,Lexus,NX,430,2931,4421,671602,hybrid,M,2005-09-13,2024-10-11
79,1031,502,X04JS88HFHKPOH3CG,А241УВ60,Hyundai,Creta,391,3419,3910,226806,hybrid,J,2005-08-13,2020-06-20
80,557,403,C167NEBS29V9XFGHC,А252ТВ99,Lexus,GX,99,3001,8498,132342,electric,D,2011-08-17,2015-04-15
81,1701,647,OPG96V41MMIG05B5X,Х021ЕС17,Audi,A3,715,1947,4847,585686,hybrid,E,2013-08-27,2018-01-10
82,554,929,940NRBWC9CB7EOP5L,Т190ЕМ92,Audi,A4,207,2926,3462,814671,petrol,C,2007-10-28,2021-07-10
83,152,961,UU7HCHKP94R1DXA4U,В697ВК07,Mercedes,G-Class,579,2046,4258,659731,petrol,C,2011-02-12,2024-06-09
84,761,159,ZAJ5CYGZGKO0ARJHQ,Х078ХУ83,Hyundai,Creta,238,1745,7904,958627,electric,M,2005-05-31,2014-08-29
85,424,427,PKSH5EHM12L9HOSEA,К047ВН36,Volkswagen,Tiguan,718,2318,1793,266073,hybrid,C,2011-03-24,2017-05-29
86,608,687,LH89SPQQ26EWEKFS2,Е083СУ98,Honda,Pilot,86,1466,5123,299872,electric,D,2019-09-22,2020-02-04
87,1499,102,64QGI7SZVDOULNF2D,Х058МЕ87,Kia,Optima,782,2573,1327,937517,diesel,B,2020-09-21,2024-06-27
88,1389,561,EXHJX8C94WUQRCA5J,В975НК93,Audi,Q7,438,2740,9874,228064,hybrid,F,2007-08-25,2013-08-05
89,489,976,7WVSN3HZA4CALJQ6C,У347ВО01,Mercedes,G-Class,283,3040,2345,480418,hybrid,C,2005-11-02,2023-10-25
90,1722,860,KMFDGO5HZEXNYIY5X,К492НА32,BMW,3 Series,716,2457,1471,249147,diesel,B,2011-09-23,2020-05-27
91,1476,233,KGAWJQPO16KTQK82Z,У360ХН61,Ford,Mustang,98,2227,5120,926414,hybrid,J,2014-08-21,2017-07-12
92,1620,954,4PHYK7R6XIQ83S4O4,М483ХВ72,Kia,Optima,751,3126,1971,272671,hybrid,D,2023-05-12,2024-03-26
93,1013,836,BMC9JYYJMOZT84FLE,В179ВР44,Ford,Focus,597,3479,2091,608017,petrol,A,2014-09-20,2021-11-17
94,128,18,FR58IM4X8O54DD0E9,А798ВУ25,Hyundai,Santa Fe,199,1488,8463,652329,hybrid,S,2016-07-28,2017-11-21
95,502,832,KP0UOGF3IFS662OKN,К686ЕХ68,Kia,Cerato,757,1949,5756,305566,electric,B,2009-12-24,2024-06-22
96,1994,788,ZVRBFICYMIR0SZ20X,Р733КН98,Volkswagen,Polo,190,3224,1390,729760,electric,D,2009-11-26,2020-12-09
97,1379,539,FXJDXFRNGM52HZQ52,Т266СК10,BMW,3 Series,281,3272,3434,392678,electric,D,2016-07-30,2017-01-31
98,603,222,D79188GS73EORA7YN,Х381ЕЕ06,BMW,5 Series,439,1824,5345,804577,electric,S,2021-08-10,2025-04-03
99,769,198,65VJJW8TN1UVX1WYY,Х964АР04,Volkswagen,Golf,83,1914,3641,679582,electric,M,2014-07-25,2015-03-13
100,926,299,TJ5AMMFG9A1IN2D08,К042ОО78,Toyota,Corolla,393,1322,1814,376063,electric,J,2013-01-04,2013-03-04
101,1794,753,GAMQYHU66V8URFPPY,Х316ЕР39,Ford,Mustang,641,2494,2857,822303,petrol,B,2022-12-29,2024-10-01
102,332,617,VXL5LX7KSDMV423GG,Е544ТО32,BMW,X3,162,3047,3661,969109,hybrid,E,2016-07-26,2022-10-10
103,808,606,UIHGG12MY3GL4EPIT,М430АК34,Lexus,NX,428,2242,3277,295388,diesel,S,2011-02-22,2020-12-28
104,691,391,LHEA4EFFEKPAOIGAT,Р057АР72,Kia,Cerato,461,1577,6562,208844,diesel,B,2014-02-09,2023-01-26
105,1374,823,3V9RJHWG3E5IJQQ1Q,Р501СС81,Kia,Optima,750,3150,5669,936120,hybrid,C,2017-08-29,2021-04-25
106,1167,131,BEJ6N7QHGMV3DIDWZ,В543ТЕ35,Honda,Civic,598,2733,3935,733981,electric,J,2014-10-25,2019-05-28
107,1116,699,GQY4XLJT3QZTVD9IF,Н439ВС42,Lexus,GX,578,1954,9681,584952,diesel,S,2022-09-05,2024-07-09
108,1429,559,4N0FAYOZE4R406FH8,М880КУ44,Lexus,GX,581,2691,4545,389129,petrol,F,2009-09-01,2013-03-09
109,288,609,J7ZAE0BVNQ3G0ZIAR,Р326ТК91,Hyundai,Santa Fe,593,2085,6246,236220,diesel,S,2010-11-08,2012-08-23
110,262,983,5I5BWIWF5O83EMUQG,С550СО24,Mercedes,G-Class,587,2827,7335,567783,electric,D,2023-03-18,2023-09-20
111,1081,91,N7RP1CPRCPZ6AZBXR,К790ОК96,Honda,Pilot,415,1929,2636,362982,petrol,M,2018-05-21,2019-07-08
112,372,671,3MNMACOOIXRM6TASP,М234ХХ39,Honda,Fit,415,1041,3380,264240,diesel,D,2015-06-04,2024-11-19
113,501,905,33M10C33E9VMT046G,К135УН70,Toyota,Camry,691,3187,9281,100264,petrol,J,2010-08-21,2016-07-20
114,569,309,FB4GGP0QDR7S90701,Т187АХ15,Hyundai,Elantra,303,1714,7954,798341,hybrid,B,2017-05-23,2025-02-25
115,1900,53,IJHEDG7DAPLW6LY2E,Н164КО12,Audi,Q5,131,2344,8667,308338,petrol,M,2020-04-19,2020-07-16
116,151,133,SYNI6ZT0ED7BPUHNH,Х302СС07,Kia,Optima,797,1119,6916,989036,petrol,M,2024-12-06,2024-12-27
117,568,886,HTIGAVKI99XCQJT78,С073ЕМ87,Honda,Civic,778,2402,5718,885294,diesel,J,2023-10-12,2023-12-21
118,1629,348,7A1GW8IPFI00XVB51,Т304АТ19,Lexus,ES,214,2900,9753,360698,hybrid,J,2018-06-23,2024-02-23
119,1342,893,863ZXOZ8U3I3Q4XZQ,В141КР26,Volkswagen,Golf,577,3349,5483,765075,electric,C,2005-10-04,2018-09-27
120,693,647,0G5ZPOFQ7SYGAM41U,Н206АВ35,Lexus,GX,648,3076,5419,152732,diesel,M,2018-05-14,2025-04-07
121,165,497,WNGIERVOG35ZONA1D,Н395КО16,Kia,Cerato,366,1235,6681,847064,diesel,M,2018-06-11,2019-05-09
122,1021,905,E2JD0GFP52DPKIKRP,Е087РМ46,Hyundai,Solaris,299,1947,3538,753492,diesel,C,2022-03-01,2024-04-22
123,270,949,HUK0QRLF0S7P9DLPM,В944МК07,Toyota,Land Cruiser,727,1130,2239,472630,diesel,B,2022-09-04,2022-12-08
124,1189,197,GLPH6KY0SAB79WWVG,В147НМ17,Kia,Cerato,594,3104,9837,647834,electric,S,2014-11-24,2021-07-19
125,1521,473,3USURHH16ISTA13MI,У728НК31,Kia,Sorento,681,948,4986,253258,hybrid,M,2016-05-12,2022-10-15
126,1210,989,B865919MVIG3W7DE0,В019КК68,Audi,A4,129,991,4786,456205,electric,D,2010-03-17,2010-05-27
127,1899,234,7SFJ6SMASMKOQ6D61,О332УА02,Honda,Accord,256,1746,3215,540753,diesel,D,2009-11-05,2010-07-18
128,1119,900,LGFFRA8PHJTZJJ5AJ,А662РС00,Volkswagen,Touareg,746,1510,1814,684941,electric,S,2008-06-04,2020-07-20
129,1857,67,6HOTHUDGKLJI1KXQO,Х195ТВ11,Volkswagen,Polo,417,1350,9593,197152,electric,D,2019-01-05,2021-01-19
130,731,653,W0CF72WA8TYW2AVEN,Н829ЕК99,Ford,F-150,609,3111,3102,130011,electric,B,2014-10-10,2024-08-08
131,347,275,3WLHOWNQSDXQ4YJDK,А750РР27,Volkswagen,Polo,225,3257,9004,549508,petrol,C,2007-04-09,2011-01-06
132,364,971,A3YT8DAQPDC99LEKY,У400ОК43,Mercedes,S-Class,90,931,7450,415302,diesel,B,2006-01-04,2007-12-12
133,1542,776,8YRX4BGBFDKZ6286T,М959ОР96,Honda,Civic,114,2708,9428,205466,electric,S,2017-08-23,2024-05-15
134,195,53,4OO203CZYH66KKEDX,А157СА00,Toyota,Corolla,170,3271,6086,936197,hybrid,C,2019-07-23,2022-09-11
135,1365,431,QY5I0J5VN7C8UJKL1,Х084МЕ23,Volkswagen,Polo,421,2889,2884,288474,petrol,S,2006-05-17,2017-10-02
136,1472,704,MFNQSSJTL171TM8LI,Т925НЕ86,Kia,Sorento,296,2648,8873,621610,electric,F,2023-04-02,2023-10-27
137,1682,873,DR8BAJZ53VQEJ80IY,Х704НУ80,Honda,CR-V,576,2477,8546,227199,diesel,A,2021-06-05,2024-03-17
138,1697,674,FO5VMD7KY70EMCE5Z,Р042ТВ97,Hyundai,Elantra,773,2728,1426,342686,diesel,J,2010-10-05,2013-04-30
139,1633,858,GYWHZQ3TNZ3UKT7LH,Е501МК01,Ford,Explorer,372,3411,2521,544002,diesel,J,2010-08-23,2012-04-18
140,1076,526,8J4V0YZ8VTR4JEFPJ,Р088ЕА62,Hyundai,Santa Fe,190,3151,3878,880535,electric,J,2008-07-12,2016-04-04
141,841,617,CPAWCET1I5KNPGK7K,Х289ХУ42,BMW,X3,231,1586,8652,238603,petrol,M,2016-08-17,2016-12-31
142,939,777,XY31GXIR735PKU7NQ,Е531МС37,Lexus,RX,247,2185,8803,456563,diesel,F,2006-02-08,2007-08-23
143,909,484,P5IV45XSM08FTFJHQ,М790ВТ51,BMW,7 Series,631,2384,4912,333698,diesel,D,2024-05-04,2024-10-05
144,627,217,NWO74IG2OPL43TN34,С849НМ16,BMW,7 Series,368,3175,8184,524313,diesel,D,2015-04-11,2022-01-13
145,1162,873,GFRB6ZNUY7HY86MPH,Е631ХН30,Toyota,RAV4,534,1417,8360,659690,diesel,F,2013-02-05,2022-11-08
146,1933,956,Z6MDWCNVG1RP2IT3X,С473АА53,Honda,CR-V,597,3104,2591,886816,hybrid,E,2015-09-08,2021-06-01
147,1458,400,PIL4CWJQXJJS0SVIO,Р578МР86,Volkswagen,Touareg,565,924,8997,438836,petrol,S,2015-05-20,2019-03-30
148,1565,403,VETVP488M2LW0AO8V,Н653МТ44,Lexus,LS,140,2110,6929,468701,petrol,A,2013-04-05,2016-07-31
149,1185,518,XJC1TY7AYHMPUA6Y1,В028МВ79,Audi,A4,293,1985,9470,799027,petrol,J,2017-05-09,2018-07-09
150,1604,717,NS5VTOMA4H7D6GI4U,Е063НС31,Ford,Mustang,416,3257,2194,167707,hybrid,F,2017-07-17,2018-05-01
151,1346,861,RGAZ1ON7HBVVVEK2L,Р108ОВ75,BMW,3 Series,737,1089,3272,279316,hybrid,M,2008-11-03,2015-04-06
152,866,128,D33FOCU25RCO6M05M,В635РХ36,Mercedes,GLC,127,2307,1462,681914,electric,E,2005-11-04,2010-03-19
153,994,189,JIM8VPIQ6UDRV93GC,Е409СК83,Kia,Rio,781,2317,1996,910495,petrol,M,2024-09-01,2025-02-05
154,1139,302,8T2TVV0JURS426XHP,Е636УК70,Kia,Optima,350,3097,5350,124324,hybrid,M,2015-12-06,2020-01-07
155,630,204,YZ4QB6M4HXYYH5FO6,Е123УР01,Lexus,RX,514,934,1494,889227,hybrid,C,2020-09-09,2024-10-20
156,96,911,PA3IES6SLMVIXJU5E,М294АХ65,Audi,Q7,248,1920,5520,235009,electric,D,2025-03-17,2025-03-23
157,5,709,B8PFMGBC02PJA9IU6,Т081ОС26,Ford,Fiesta,490,2332,3002,740721,diesel,B,2020-12-07,2021-10-14
158,1482,474,ZWQLV4CGNEF5KK9ZD,В822КС87,BMW,X3,173,3406,3370,606496,hybrid,C,2022-03-04,2023-12-01
159,872,991,53GYOHUSJW3755YGC,С760МА89,Toyota,Prius,700,1088,4854,243535,petrol,S,2009-03-13,2016-06-15
160,655,107,6A7MLMZTLYDU0L4Y0,А131УК53,Honda,Civic,795,995,1370,106711,diesel,E,2016-07-25,2017-08-10
161,38,351,X37S0PQ517B1NLYD2,Т169КЕ41,BMW,X5,210,1533,5777,822199,diesel,S,2022-03-12,2022-11-07
162,912,228,NRHQQECS7SSQBWOJ2,Х791ТТ93,Lexus,NX,494,2286,6596,450473,electric,F,2024-05-04,2024-12-29
163,1339,44,HNBKV5ZOGUULOI7T5,О225УО27,Mercedes,C-Class,274,1628,2627,927072,hybrid,D,2021-05-03,2021-10-22
164,1168,899,06PC7TDPSGRXCOXFM,С964СС21,Honda,Fit,759,1415,3143,617406,diesel,C,2011-04-27,2021-02-18
165,1843,220,OHGY2CSY1PKT1JIO6,Н318МУ48,Hyundai,Elantra,647,885,6433,406430,hybrid,B,2008-07-06,2011-06-12
166,1017,543,R64YA1T8MMPF03KYD,В280РС37,Honda,Civic,494,1459,5625,998563,electric,C,2021-11-27,2024-12-20
167,362,67,JMLEJH6Q26VG4DXY8,В486ХУ43,BMW,5 Series,61,2271,8940,720245,petrol,F,2022-09-01,2024-11-07
168,222,738,1YBAL5CI9PWO40GZU,Е012ОЕ80,Kia,Sorento,197,1015,3052,159470,hybrid,M,2016-04-21,2024-12-03
169,1377,50,4OF1G2K528RABL5H5,А739ВА47,Honda,CR-V,301,3195,9187,625392,petrol,J,2015-05-03,2021-06-01
170,149,633,V9TQ8N9U4UUYHSHF3,С108ОК16,Toyota,Prius,252,2037,3331,865613,petrol,A,2024-03-13,2024-10-16
171,357,980,M3TBBZ91VPZDTTCFP,С045АЕ76,Audi,A6,76,1210,4653,460780,hybrid,F,2011-07-08,2015-05-20
172,973,568,WVD5N3I1SH9QKWLB9,В372СВ85,BMW,7 Series,211,1426,3993,840385,diesel,E,2017-11-28,2022-01-28
173,475,157,YQB128NN3XA8M7RH5,Е318АХ78,Audi,Q7,680,2415,5076,911447,hybrid,A,2010-11-16,2013-02-19
174,581,540,1OENT7NZNTGWKJADK,А827ХХ37,Mercedes,GLE,137,1644,3496,646344,electric,D,2024-05-25,2024-10-12
175,107,846,2L7RUIYYR54OEAE4S,Т230ТА64,Ford,Mustang,279,3288,6531,745476,diesel,D,2024-05-11,2024-09-02
176,1879,657,MHVQUL308LC5HWPRE,Н448ВА12,Kia,Sportage,197,1777,5672,960080,electric,D,2007-08-26,2013-03-21
177,1627,380,9OMZVKM0Y64FCTDKH,Н749НЕ36,Kia,Sportage,746,2342,4635,306176,electric,E,2018-01-19,2025-01-20
178,1971,914,1BNQVD9QEKS7YOOF9,Т088НС15,Audi,A3,559,2649,3557,778170,electric,E,2019-06-05,2021-12-11
179,337,376,XLGD5FAFXMLIXRWLI,О488ТЕ68,BMW,X3,432,1094,8861,237710,hybrid,J,2005-09-23,2016-02-12
180,1910,410,ZFZ2P2MBODIBJDNI3,А498НК93,Mercedes,G-Class,131,1035,2691,332679,hybrid,B,2023-01-24,2024-12-03
181,1006,573,OCCGH8XEL74N9DIPT,Р633РС64,Ford,F-150,351,1607,3736,100908,petrol,D,2014-01-16,2015-09-12
182,1922,55,NX6OF2IHK635WAH0T,В053КЕ26,Volkswagen,Touareg,430,1991,3080,785127,hybrid,F,2006-08-23,2021-02-23
183,1805,338,NAFCLHF18XRG4DQNT,К071ТХ86,Honda,Civic,318,3057,4758,181447,electric,F,2023-12-27,2024-06-04
184,328,126,8D6LTCCGG2UX9Y6G0,Т293ОС41,Mercedes,C-Class,652,2772,5622,467649,diesel,A,2009-01-16,2009-11-13
185,360,125,14UY3TRK0NU41N1O2,М928МК63,Ford,Focus,742,1639,6207,668191,hybrid,J,2019-04-20,2023-08-15
186,642,266,QYTS0WLOO8150VWWU,Н289УВ75,Toyota,Prius,591,2929,1111,915869,petrol,M,2011-12-28,2019-12-03
187,1095,43,W5QIZOOEC6ZOGYOYO,С446МТ96,Honda,CR-V,711,2817,4535,569146,electric,C,2015-05-04,2016-05-01
188,1123,898,WY8PBWPBVY8CEUL7X,Р828ЕН89,Volkswagen,Golf,406,924,6676,852280,diesel,M,2023-07-12,2023-12-08
189,687,493,GN8MNXARFHH4HWGKX,К648ОС47,Volkswagen,Touareg,226,2354,4469,330363,hybrid,C,2008-09-28,2024-10-31
190,1528,358,2SEFT4MEDVJEI31GG,Н627УС34,Mercedes,G-Class,517,1068,7619,790107,diesel,D,2007-12-29,2012-10-05
191,1775,76,DT80RNFDST1CZ1TA8,А497УВ81,Lexus,GX,447,2180,3830,993001,hybrid,J,2015-07-05,2020-04-26
192,1433,149,4UMFKYQXC0OUEDWRE,А859УР48,Honda,Civic,770,2308,5210,567745,hybrid,E,2021-06-16,2024-08-16
193,1010,919,OOB10T83IDRP8L40A,В295ТН87,Ford,Focus,647,2592,6868,123079,diesel,A,2011-04-10,2016-02-01
194,163,38,CSYR2HTYTY936QDZ2,С849ЕЕ87,Audi,A3,442,3065,1770,112256,diesel,J,2009-12-08,2025-02-09
